用户id,性别,等级,评论,发布时间,点赞数
39268182,男,6,能不能加入季节，天气等等，比如雨天的花和晴天的肯定不一样，还有能不能正式上线多一些地图，风景党需要再多元一些的地图。,1763099689,3
351873539,男,6,洁厨一次资格没拿到过，已经释怀的似了[音律联觉_哭哭],1762914634,2
2005303181,保密,6,你游问卷是真神了第一次见问电脑的配置跟手机配置的，我估计这个起码劝退70%想要名额的人，,1763378007,0
4371130,男,6,mua的，这扫地车，红警采矿车是吧，明明像是在正经介绍突然蹦出来这玩意有点难绷[doge],1762916162,3
392390,男,6,全面测试一定要全面,1762943880,2
487251588,保密,6,测试资格呢yj,1762928754,2
3546948504127897,保密,3,漂流威龙陈[笑哭],1762942106,2
1889517297,男,5,可爱捏[2024明日方舟音律联觉_撒花],1762934697,2
3632318182853279,保密,2,我想要看终末地出个红警模式！,1762924674,2
8353663,男,6,别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈]别钓我了[委屈],1762926707,2
3546391376824856,保密,5,那我问你：我资格呢！！[辣眼睛],1762938190,2
581366356,男,5,我要测试资格,1762941600,2
3546629065934856,保密,4,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！我不接受！,1762942601,4
306706479,男,6,想问一下玩过的朋友们，我看游戏有很多建造系统，那么游戏里可以参考别人的成品直接建造嘛？然后提醒我缺什么材料之类的,1762941673,2
406791477,保密,5,作为一个生存建造游戏应该把重心放在建筑塔防上，并不应该将角色战斗力拉的比炮台还高，这样回出问题，如果可以我的想法是可以出一个无尽塔防或者阶段性怪物攻城副本来让玩家度过长草期，也增加了可玩性，副本机制为单人或者联机，根据参与人数来决定怪物强度。类似CSOL的昼夜求生或者逆战的塔防。角色用来补强，在机械阵容成型后降低普通玩家和氪金玩家的最终战力差距，这样不仅可以讨好普通玩家还能让氪金玩家在前期通过角色杀怪获取素材成型更快，双方都有体验感，我能想到的就是加这两种模式，更多的话可以加一种类似模拟经营的娱乐玩法。比如在主城开店，类似QQ餐厅，开店后自动进入顾客，让玩家根据顾客要求来进行新操作，同时增加店铺装修系统，用来售卖类似角色包的这种绑定家具。,1763216574,1
1639475340,保密,5,测试资格的缺失亦是一种测试资格……我是玩家，但测试资格在哪？,1762913108,4
484461950,保密,6,等等，我有个问题，武器池资源是抽角色池送的，那我角色抽到了但武器池资源不够怎么办，只能继续抽角色吗,1763026825,37
673894373,保密,5,听说你游三测还没有聊天功能，不会又像隔壁一样强推联机玩法又只让发表情交流吧[辣眼睛]，无论如何聊天都是利大于弊的,1763243739,0
1819015204,保密,5,这都多久了，明年前半年能出吗[tv_皱眉],1763001665,99
526424232,男,5,个人理解，终末地目前的主要玩法是：,1762914503,2
1820840,保密,6,我一点都不想玩[汤圆][汤圆][汤圆],1762960904,2
299609213,保密,6,不懂就问，没玩过方舟，到时候想入坑一下这个，剧情上会不会和方舟有联系看不懂之类的,1762921707,3
279088669,保密,5,问一下你们的游戏怎么样才能账号注册啊？还是说只能用国内的手机号码注册我想要用账号注册可以吗？,1763115281,3
20603801,保密,6,能切男女主吗？都好看但不想玩两个号[灵魂出窍],1763173900,2
484753998,保密,6,求你给我发一个资格吧，我从19年开始玩方舟，我为方舟流过血，战过斗[2024明日方舟音律联觉_呜呜],1762917848,2
285319558,男,6,噫！好！我中了！！！海猫爱死你了[大笑],1762921937,2
31984881,男,6,[明日方舟野趣拾光表情包_跟我走]饭店，洒水车，广场舞,1762920646,2
228156086,男,6,多给一点测试资格吧[保卫萝卜_哭哭],1762916041,2
516651169,男,6,快出个完整版的这好好听,1762916130,2
3493087452072695,保密,4,"我说我要测试资格尼尔多🐉吗！😡👊🏻
佩里卡:好啦...别生气啦，（刀客）塔塔。
对不起长官，我翘嘴了[脸红]",1762924419,2
3546629065934856,保密,4,开拓难道是什么专有名词吗我请问,1763085551,5
1112007748,女,5,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！我不接受！,1762919813,8
164822285,保密,6,"Idealism is that you will probably never receive something back but nonetheless still decide to give
翻译：理想主义是你可能永远不会得到回报，但仍然决定给予
不一定对，机翻的[箱庭少女之梦表情包_让我想想]",1762921519,2
406791477,保密,5,"在游戏下面的评论好像被吞了，来视频底下发个评论，希望大家点点赞让官方看见。
【可玩性】

聊聊可玩性吧，作为一个生存建造加塔防游戏，工厂和塔的占比应该要更大一些，同时增加建造和塔防的最终收益用来平衡氪金玩家和普通玩家。战斗主要还是角色战斗反而忽略了你作为一个生存建造游戏该有制造设施防御+战斗的机制。这里提一嘴反恐精英和逆战的昼夜求生和塔防战。都是在最终成型后减少了氪金玩家和普通玩家的最终输出差距，让没有神器的玩家还能玩。

【运营服务】

运营不必多说，还是那样，只要游戏出来之后不要有骚操作就基本没事。

【游戏玩法】

这里提一嘴，和上面说的一样，你是一个生存建造游戏，那么你建筑设施的战斗收益和生存收益一定要比角色高，但是你的实际战斗表现依旧是【角色】＞【防御塔】，甚至大多数地方不能造塔，仅限工厂地区和防守地区。这也导致了你依旧是个动作战斗游戏，削减了生存建造游戏该有的塔防玩法和工厂收益最终效果。

【不足之处】

①我也说了，实际不足之处就是动作玩法和建造玩法的不平衡，如果你的珍惜素材需要用动作玩法来获得，那么你的工厂系统就很鸡肋，甚至有可能完全没用。

②游戏建模单建模最高十万面，在手机端口可能会出问题，希望后续优化可以改进。

③城市NPC有的时候会抽搐，可能是循环逻辑的问题，这个BUG希望修一下。",1763218907,7
341879587,男,6,目前质量独一档的二游，如果其他二游按照T1，T2排，那终末地就是唯一一个T0，太强了，有时候我夸都感觉要夸的太多了[大笑]，而且终末地玩家不必谦虚，目前当下终末地就是质量断档，事实如此,1762917966,4
3382594,男,6,md这终末地，每天烧动静一堆，就是不给碰,1762920386,7
24067298,保密,6,这么早就买量了，说明一月份有机会上线了吗,1763269730,0
3546711704209504,保密,3,所以终末地选男管理员好还是女管理员好？[星星眼],1763026406,2
2103969,女,6,我话放这里这游戏很挑人！特别玩法这块  建议路人放低期待,1763187944,3
15717813,保密,6,被水淹没，不知所措,1762929298,2
543736540,男,6,这游戏，爆出来几年了[tv_笑哭]我咋感觉原刚出来没多久就听过,1763006766,3
442767987,保密,6,没抽到资格的你,1763002965,2
1991090251,保密,5,谁还有多余测试资格?,1763275121,1
25115,保密,6,"以前两测发资格的经验看，三测问卷结束是11/17，大部分资格应该是11/18开始陆续发放。而且可能之后还会追加
所以现在急也没必要，因为基本还没开始发。抽奖的资格就几千个，算起来是小头。",1762970052,4
1734742269,男,5,猫哥你快让我们玩终末地吧，我什么都会做的[香奈美·追寻那道光 应援装扮_委屈],1762913807,2
3494358716254996,保密,5,可爱,1762913199,2
645959379,保密,5,兔兔，我的乖女儿，我还能在千年后再见到你吗？[大哭],1762914031,2
1830878273,男,4,终末地资格其实无所谓，主要是喜欢玩明日方舟,1762913816,2
1957118458,保密,5,多给点测试资格吧，不然你发前瞻我也玩不了呀[2024明日方舟音律联觉_自闭][2024明日方舟音律联觉_投靠][2024明日方舟音律联觉_失去理智],1762912991,2
417398996,男,5,能不能出个好感度的约会模式，可以和喜欢的角色逛街聊天，散步[OK],1763215239,0
3493270051097492,男,4,你补药再诱惑我了！我也妹抢到资格啊![大哭],1762913428,2
85819267,男,6,啊？1kw了？？？,1763215871,1
553262739,保密,2,"笑点解析:冷知识：B站评论发到15个字以上，可以获得经验值，我就是过来蹭经验值的
B站发评论只需要超55字可以加很多经验，，所以我遇到的每个视频都会发一遍这段文字
B站发评论只需要超55字可以加很多经验，早日变成lv6硬核会员，所以我遇到的每个视频都会发一遍这段文字哈哈哈用来蹭经验，只要我坚持下去，马上就能变成LV 6了（可以复制）[doge]",1763215550,0
13165194,保密,6,我现在就要玩昨夜圆车：初始池[脱单doge],1762914241,2
125258180,保密,6,给我个资格，这即是通知，也是命令,1762914377,2
11588999,男,6,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！咕咕！嘎嘎！！,1762914679,12
3493114490652678,保密,4,这个上国服吗,1763252365,0
1922124,男,6,问卷测试资格下发了吗？,1763016778,3
502340840,保密,5,这个播放量和这个评论比正常吗[思考],1763187145,20
3546650047941542,保密,4,何EVA?,1763177865,2
507160567,男,6,能不能修复一下没测试资格的bug[微笑][微笑][微笑],1762919037,3
455174588,保密,5,玩鸣潮卡卡的玩原神刚刚好的电脑能带得动终末地吗,1762924776,2
601621254,女,6,现在回游还来得及吗，24年初退的[星星眼],1763119749,2
34280504,男,6,这什么玩法啊，看完pv还没看出来,1763292353,1
3494366828038196,保密,5,要不舟120级且有克洛丝动态皮肤，并且来自星辰通关的人直接发测试资格吧,1763215106,1
82630784,保密,6,期待！！ipad存储空间已经做好准备了[墨镜],1763215212,0
1630648017,保密,3,感觉集成总部+各独立世界这种好像很有意思？,1763214973,0
11395858,保密,6,小企鹅可爱捏[给心心],1762912917,2
399206291,保密,6,给我资格[大哭][大哭],1762912838,2
3537104491513901,保密,4,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！我不接受！,1762920959,6
1335907723,男,3,本人鸣潮玩家，长草严重，请问终末地好玩吗？,1762967597,73
474961212,保密,5,甚至挂的是新能源汽车号牌,1763128001,4
481966023,保密,5,这游戏是哪个游戏公司的,1762967386,17
546439,保密,6,再也不敢说明日方舟是二次元纸片两头身小人益智塔防游戏了[笑哭],1763040988,12
518452597,保密,5,你终于想通了买量了，byd明日方舟省的钱用上了也是[少女乐队的呐喊表情包_wink],1763228087,0
1684070742,保密,4,丫丁有专门请人设计武器吗，谁设计的这些东西,1762922007,2
485585617,保密,5,我的测试资格呢？,1762912983,2
251988376,保密,6,那我问你，大家的测试资格呢[FGO_怒],1762916940,2
1829449241,保密,6,没玩过明日方舟的玩这个可以吗🤔剧情一点都不知道的那种,1763285193,1
430438186,男,6,不能再看手机了视力越来越差了，打开森空岛都看不见自己的终末地测试资格了[辣眼睛],1762912983,3
23547595,保密,6,我根本不敢想在终末地我们会以一个什么样的场景下再次见到阿米娅[丝塔莉表情包_惊吓],1762940107,3
437377833,保密,6,一测二测都没有我，三测该有了吧[傲娇],1762914379,3
399950800,保密,6,什么叫大部分没有资格？,1763229405,2
85162040,男,6,塔塔不生气啦，塔塔伤心😢，塔塔 没拿到测试资格😭😭😭😭😭😭,1762920712,2
684979002,男,5,这样，你的卡池爆率低一点但是保底提前一点，而且命座和潜能一样不要太强，然后我觉得完美[墨镜][响指],1763182577,1
350596630,男,6,这次试试挑战一下用低配送的角色和武器打通开服所以内容,1763189993,1
83138065,保密,6,看来明年一月份是真的要公测了，鹰角难得买量做准备[doge],1763214839,0
3546898193451253,保密,3,高德金铂中心、高德金沙洲金铂天地、高德佛山南海万达广场、高德嘉洲广场,1763213655,1
3546898193451253,保密,3,高德金铂中心、高德金沙洲金铂天地、高德佛山南海万达广场、高德嘉洲广场。,1763213660,1
389242024,保密,6,我要人声bgm 快端上来吧[大哭],1763195531,1
3546608478193718,保密,3,想问一下，终末地会出w或者维什戴尔吗？我是真喜欢，但是方舟歪了[大哭],1763201832,1
647832349,男,5,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊😋,1763181271,1
13891717,保密,6,交出bgm[微笑][微笑],1763213341,0
3546637903333913,男,5,我说yjwl的宣发多少有点神人在里面啊😃,1763193926,1
387051862,保密,6,高开,1763214766,0
3493120691931209,保密,5,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！我不接受！,1762920084,55
377676609,女,6,有没有知道bgm的，有点急,1763191101,1
3493260209162516,保密,5,是的,1763209943,1
398507035,保密,6,全面测试限资格没谁了[鸭科夫_流汗鸭],1763182327,1
385338449,女,5,虽然大伙都说洒水车是海猫小巧思，但是上线后真优化了怎么办[腾讯招聘_仰望大佬],1762942006,2
282959094,保密,5,开坛,1762927038,2
382278955,男,5,我测试资格呢[汤圆],1762912875,13
1924526,保密,6,我只希望不要屈服于某些声音，别和谐掉一些东西啊,1762928261,6
112670,男,6,希望给没拿到测试资格的人提供一个充值反馈的渠道，不然对想氪金又拿不到测试资格的人太不公平了。,1763008168,2
3493092204218652,保密,4,"好奇一件事情，在没有玩过明日方舟的情况下
能零障碍入坑吗？[doge_金箍][支持]",1763167555,1
1010030397,保密,5,别测啦，快盛上来吧[tv_笑哭],1763212818,1
3461576963132307,男,4,一直想玩，但是需要有前作基础吗，没玩过方舟,1763134227,1
3493127597853511,保密,4,快端上来罢（迫不及待）,1763171490,1
2065660827,保密,5,刚回家，这么快就700万啦[哦呼],1763130779,1
1809529939,男,6,你要来木卫二接受暗影吗,1763133063,1
1517086444,男,3,让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我玩终末地😭让我,1763173709,1
324822073,男,6,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！我不接受！,1763002582,11
526597713,保密,6,这个玩法类型应该叫什么,1763172785,1
3494372226107714,保密,4,云游戏和本体是同一时间上吗[蹲蹲],1763138839,1
16313908,男,6,没玩过明日的玩这个，剧情上会不会有影响？,1763174005,1
1519488841,保密,5,再见了，牢米牢酷[大哭][大哭]有一个不幸的消息要告诉你们，我要回鹰角那边玩终末地了！！！[大笑],1763131264,6
1549113396,男,5,大家选女管还是男管啊好纠结,1763136303,2
402483852,男,6,[tv_鬼脸]😡我没玩过明日方舟没画过明日方舟同人…也不是舟up也没画过本子[tv_鬼脸]这是什么游戏[tv_鬼脸]测试资格我咋没拿到[tv_鬼脸],1763119497,2
19258347,保密,5,"如果说
原的主角给我的是纯良少女心
铁的屑到没边
那终的往哪一座给我一种“你怎么穿着你妈妈的衣服”的感觉好小一只",1763044495,2
323658744,男,6,@秋人yaya @AVOCADOOOO_ @尊尊大傻纸 @核桃吃胡桃,1762926476,2
387902196,保密,6,我有一件事很好奇，终末地会以什么形式表现永续技能,1763350318,0
1744675371,保密,5,你让没有测试资格的人看这个不就是吊胃口加深终压抑的病情吗？,1762926149,2
38618668,女,6,再不给我玩就要生气了(｀∀´)Ψ,1762916300,3
7363649,男,6,[笑哭]能不能赶紧找个时间公测  整天看这个游戏视频 那个游戏视频的 玩又玩不到 整天勾人心态,1762951703,2
3546671275313403,保密,4,"哇哦，很cool  !  [星星眼] 不过这个画风比3D少一点,比2D感觉多一点，难道是三转2.5 ？[辣眼睛]",1763118835,1
3546791951730886,保密,4,会有哪些优秀的音乐呢？真期待呀。,1763211507,0
1654844219,保密,4,想玩终末地，我需要去补方舟剧情嘛,1763127439,1
1155821534,男,5,快端上来吧，玩三角洲了有点腻了，来个新游戏换换脑子[OK],1763100828,1
25831411,男,6,快点公测，我要玩😩😩😩,1763096052,1
66457611,保密,6,不是？我新买的手机屏幕中间怎么就有条绿线？,1763098423,1
27782103,男,6,[笑哭]我好像看到来万订官方玩梗嘛,1763123388,1
1308637931,男,4,广场舞那段的  音乐好听   什么时候上传哎,1763120845,1
325881802,保密,5,来个资格[奈姬niki_满足],1763098377,1
285832138,男,6,要不要补到200抽，随便井一个，都不缺,1763098032,1
456705622,男,6,快端上来罢（）,1763109215,1
520275121,保密,6,很希望能和XX:XXXX联动，但想必会血流成河，所以还是算了（,1763102384,1
418086019,保密,5,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！我不接受！,1762912888,79
693723020,保密,5,咳咳,1763122784,1
1204416516,保密,5,@すばらしいよ 感觉很好玩[doge],1763119979,1
302724641,保密,6,居然是这个视频要先破千万吗，还以为会买三测pv本体多一点[笑哭]，不过也对，说要有梗能出圈估计还得是这个视频,1763198012,2
406491132,男,5,要是不给我测试资格的话就一辈子不给角充钱了[嫌弃],1763293675,4
214655376,保密,6,这1000万播放里能有一万人拿到资格吗,1763233167,0
1720450892,男,6,还真是都有战舰了，我搓了那么多基建，把资源量消耗投入进去换取一个战斗中轨道轰炸没毛病吧[崩坏：星穹铁道-匹诺康尼_星期日],1763107961,2
438548066,男,6,想问问28年之前能公测吗🤔,1762918624,2
3546963765103304,保密,2,我们需要昼夜循环和季节系统,1763090762,1
3546562609285211,保密,3,pv这里的英文是“理想主义者即便毫无所得，仍坚持给予”，小企鹅管理员又背负了很多……,1763090128,1
3546562609285211,保密,3,海猫别着急，保证质量慢慢打磨，尽量在下周三前上线就行。实在上不了也没关系，但一定要在下周三前上线。,1763090137,1
386854931,保密,6,bgm好好听[MyGO_捕猎状态],1763210589,0
3546963765103304,保密,2,终压抑了[大哭][大哭][大哭]我要盖一个“让我玩终末地”的楼[大哭],1763090765,1
3546585044617734,保密,5,说起那个扫地机转向和红警矿车很像…我突然想起粥基建的那个房间完成和升级的语音…就很有红警的味道。,1763087694,1
3546725102914019,保密,4,如果能让大家都拿到资格的话 哪怕让大家一发出自己想要的干员也愿意啊,1763090233,1
3546863517042945,女,3,这主角怎么感觉好像隔壁的分析员啊？[笑哭],1763092209,1
507898030,男,3,一起说：求求了快让我也玩玩,1763092913,1
2100458605,保密,3,给我个资格吧[大哭],1763093125,1
50668049,保密,5,有一说一  女博真的不是头发剪短的牢普吗（,1763089140,1
400124972,保密,5,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！咕咕！嘎嘎！！,1762913447,20
3546615686105937,保密,4,问下，这游戏的卡池角色都是前作方舟的吗？还有这游戏会不会像方舟那样和别的IP联动啊，之前为了mujica玩了下方舟，没玩进去，感觉这个游戏我还是可以玩进去的,1763090389,1
3546770715970110,男,4,能不能把红警的语音包联动过来，有点想听construction complete ;,1762965039,3
34526232,保密,6,我一点也不想要资格，你要发就发给我室友，他很想玩，我一定不会去蹭他的，所以你把资格发给他,1762912981,2
122542559,男,6,净发一些这种诱惑人的东西，你倒是给资格呀[大哭],1762913002,2
297277519,保密,6,终压抑末期了[良辰共此曲动态表情包_泣][良辰共此曲动态表情包_泣][良辰共此曲动态表情包_泣],1762916058,3
349278840,男,6,给资格啊 天天吊胃口,1763026721,3
352129099,男,6,三测为什么不多放一些资格，我是没钱还是没时间啊[疑惑]明日方舟六年老登想要参与到游戏开发进程里怎么这么难[大哭]（其实想要删档测试的充值返还[吃瓜]）,1762915065,2
365296808,保密,6,谁还有多余测试资格[东方收藏集·浮生若梦_已黑化],1763006252,3
1012309222,保密,4,"想入坑，有无大佬可否告知一下如下问题，在此先谢过各位大佬！
1.是否有米池，包括角色和武器，保底几十抽出?多少人民币换一抽?
2.角色是否有“命座”那种设置?
3.装备是否有“词条”属性?若有，刷取优质“词条”的难度大不大?
4.刷完副本、过完剧情，还有什么优质小游戏可供打发时间?
5.有无“尘歌壶”那种独立建造模式?",1763082446,1
615338047,男,5,我希望在gta6发售 三角洲出战争巨兽 暗区实装生化模式 双发射手5阶 凯尔希复活 神秘二字夏国剧情结束 雪松三测 泰拉瑞亚更新 半条命3之前看到真正不限量公测[微笑],1763082375,1
499429208,男,6,开拓吗，有点意思,1763081893,1
197892601,保密,5,原来unity的建模也能这么美丽嘛,1763055073,1
1921826,保密,6,给我一个测试资格[大笑],1763052402,1
439467526,女,6,阿米娅[大哭][大哭]会有吧角,1763052943,1
630003105,男,5,快来人来玩喵，群里好冷清喵，群主什么都会做的喵[给心心][给心心][给心心],1763084510,1
44608432,男,5,我要玩有憨憨陈干活的幸福工厂！[doge_金箍],1763080895,1
1013601245,保密,5,开局选人，地道,1763053022,1
522572909,保密,5,"目前不太确定的几个暗雷，希望有人可以解答
①产能问题，鹰角的产能是否可以维持终末地的高质更新（我个人的标准是允许通模+原神水平的动作模组+主线带镜头和配音+星铁绝区零崩三二部水准箱庭，60~70天一更新，至少三版本出一个小地图）
②战斗，探索，基建，若我只想深度体验其中两项，那么第三项是否会在进度上卡我另两项的体验，如果是的话，是否有弱保软机制？
③没有潜能提升，那么相当于无法通过加金提升角色强度，那么游戏运营一年后，弱势老角色该如何处理？[脸红]",1763086307,1
174856199,保密,6,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，咕咕嘎嘎！我不接受！,1762919785,7
344533719,男,6,"1-并非米池，80/小保底/可继承，120/大保底/不继承，付费未知

2-有潜能，1到5潜能，提升不大，1/3/5潜能额外附加，海报/物品/名片，时尚物品。
3-装备是工厂玩法造出来的，升级类似古早游戏，强化概率失败，只消耗物资不会破损。
4-会出新玩法，比如地区寻宝撤，肉鸽，工厂建设，索道。
5-有会客室，可以摆放，成就徽章/武器/角色海报，战舰是主角的，可以和角色互动",1763083245,1
3546605024184509,男,2,赛雷娅能养吗大佬们？感觉我角色好少啊,1763057108,1
550048321,男,5,焯了，648都准备好了你倒是给资格啊[生气],1763026488,2
1362455361,保密,5,终末地都快端上来了，州的pc版还有多久[吃瓜],1762921017,5
352420151,男,5,买了？,1763205937,4
11630142,保密,6,有资格就玩没有也无所谓，反正都付费删档测了，离正式版端上来也差不多了,1762924649,2
16497907,男,6,为什么广场舞没有跟跳按钮？,1762952139,2
406343424,男,6,https://endfield.biligame.com/betatest2/h5/?sourceType=adPut&source=cpc_0_0___ADTYPE___1763370929116q172a27a10a168q45&sourceFrom=1000100041&ivt_code=MTQzOTU4NzgwOTM3NTQ5NDE0NA%3D%3D,1763370964,0
402309882,保密,5,那我缺的测试资格这块谁给我补啊[藏狐],1763003264,4
39170511,保密,6,"我怎么觉得是后面现在的博士在某一个事件中，灰质被重置如初了，源石森林中找到了锚点，然后预言家要上身了，史前记忆要恢复了，然后现博士给预言家的留言啊。
如果给我猜中了，到时候过几年一定要来踢我的屁股。[doge]",1763048629,1
440052035,保密,6,能不能给老玩家多一些机会 我觉得老玩家能提供一些在公测前更有帮助的建议,1763039711,1
1092253078,男,3,我感觉终末地里可以加入高达，高达里面，如果是居住的场所更好的,1763210170,0
628270546,保密,4,光辉E4源石裂隙来人，刷小羊prime系统,1763038018,1
507132420,保密,5,333.3好运[打call][打call][打call],1763037701,1
3546869535869921,保密,3,你是要终于开始公测了吗？朕甚是期待。,1763042887,1
3607231,男,6,开   开拓吗   有点意思啊,1763039868,1
300553202,女,6,什么时候开服呀？,1763036626,1
3493256987937531,男,4,兄弟們太有壓排隊[大哭][大哭]我沒有領到濺試資格，我現在想孟個終未地大樓,1763041092,1
389571736,男,6,让我玩终末地[大哭],1763049686,1
1868504633,男,5,我做终末地代肝，有没有单子[妙啊],1763039109,1
430190524,保密,5,谁还有多余内测资格（）,1763041289,1
1654671644,男,5,不是，你怎么还不给我发测试资格啊。全面测试根本不是这样的，你应该问卷查我明日方舟uid、签到天数、氪金数，偶尔网页小活动抽奖给我点小礼物，然后在那个特殊节日的时候跟我有那个特殊互动，最后在那个全面测试开启前给我资格。我同意参加然后我给你猛猛氪金啊。你怎么到现在都不给我发测试资格啊，全面测试根本不是这样的，我不接受！,1762921070,56
69422,男,6,明日方舟只玩到3-8后就放弃了，虽然能认出几个角色，但完全看不懂这个PV在讲什么，主角团不应该是在阿米驴领导下生活在一辆移动城市大车里吗,1763044509,1
14228627,男,6,没看明白是什么玩法？是部落冲突那样的吗？,1763045888,1
3546639931279713,保密,3,终末地PC要预留多少内存啊[打call][打call][打call],1763213301,1
3461568691964209,保密,5,所以到底什么时候才能玩到啊？,1763009525,2
277964924,保密,6,会不会上steam,1763361040,0
424756960,男,6,给个内部号，嘴巴严,1763008331,2
178942935,男,5,https://endfield.biligame.com/betatest2/h5?fromGame=&fromPage=search&sourceFrom=233&fromUrl=https%3A%2F%2Fapp.biligame.com%2Fsearch&_ts=1763375663749&fromSpmid=555.6.0.0&isFirstPage=1&fromModule=track-detail&fromNative=1&from_spmid=game-ball.game-detail-card.0.0.pv&ivt_code=MTQzNDA4Mzc3MTE3NTM0NjE3Ng%3D%3D,1763375711,2
63942717,男,6,感觉比一测好很多了，加油[打call],1763036477,1
37895418,保密,6,感觉好精良啊，不会又是米池吧[热][热][热][热][热],1763031406,1
3546661791992114,保密,4,什么时候公测[星星眼],1763034162,1
1931550003,保密,4,心中的次世代多端游戏，快点公测吧，终压抑了,1763035150,1
